world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year,continent,female_ratio,male_ratio,lat,lon,cost_of_living,international_ratio,Y1 ,Y2 ,Y3 ,Y4 ,Y5 ,Y6 
18,Columbia University,United States,73.8,90.9,73.8,92.6,-,81,25055,5.9,28%,2011,North America,,,40.814856,-73.9610162,748.037,0.28,-3.17259329255805,-0.537019603241768,-0.077505631656175,-1.08279729794365,-0.02882983907029,0.316882964686875
19,University of Pennsylvania,United States,71.8,32.9,82.7,93.6,43.7,79.5,20376,6.5,20%,2011,North America,51,49,39.9492344,-75.1919899,748.037,0.2,-2.56255304701383,0.68263414492379,-1.37984358899672,1.12876147774683,0.442739613698051,-0.370378069567988
20,Carnegie Mellon University,United States,70.3,39.1,79.3,95.7,53.7,79.3,11885,13.1,35%,2011,North America,39,61,40.4441619,-79.9427283,748.037,0.35,-2.6384211487578,0.635242805634315,-1.06573574052854,0.826937808109212,0.064597280084071,-0.272906717732066
21,University of Hong Kong,Hong Kong,68.4,91.4,71.4,96.1,56.5,79.2,19835,17.6,38%,2011,Asia,53,47,22.2832633,114.1367447,836.098,0.38,-2.92639892172425,-1.2878759513973,-0.25115109873498,-0.576088129108774,0.024900706851068,0.16236061380943
22,University College London,United Kingdom,74,90.8,81.6,80.6,39,78.4,26607,10.7,46%,2011,Europe,56,44,51.5231607,-0.1282037,698.496,0.46,-2.69826800412247,-0.750464685571864,-0.890069837990496,-1.07342293158902,1.29379103180302,0.025951855415917
23,University of Washington,United States,68.2,49,77.1,95.9,32.8,78,44020,11.8,13%,2011,North America,53,47,47.6543238,-122.3080089,748.037,0.13,-2.32071999147455,-0.106022673753991,-1.62695271285281,0.680187630003853,0.52921567126384,-0.268148377286585
24,Duke University,United States,66.8,49.4,71.5,92.3,100,76.5,15172,4.8,17%,2011,North America,49,51,36.0001557,-78.9442297,748.037,0.17,-2.91156708496505,1.20098047601475,0.57799742211198,0.008277936849053,-1.08952097677107,-0.02466249309142
25,Northwestern University,United States,64.5,60.5,68.8,95.3,-,75.9,18334,13.8,15%,2011,North America,48,52,42.0551164,-87.6758111,748.037,0.15,-2.52249675851456,0.206381250008259,-0.332296192675797,-0.080672182737665,-0.512507238207238,-0.022401088522929
26,University of Tokyo,Japan,87.7,18.4,91.9,58.1,-,75.6,26199,5.7,10%,2011,Asia,,,35.9020448,139.9362201,891.631,0.1,-3.01557859069654,1.69134338526636,0.703756632978791,1.95129464534893,1.4790030415212,-0.042971268455624
27,Georgia Institute of Technology,United States,67.9,73.2,72.6,83.2,95.1,75.3,19967,20.1,26%,2011,North America,31,69,33.776033,-84.3988409,748.037,0.26,-2.92656406667395,0.52689940858243,0.85891555008851,-0.79212340203942,-0.503594387750946,0.092799473375165
28,Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,100,75.1,3055,10.1,4%,2011,Asia,20,80,36.017731,129.3210751,823.151,0.04,-2.77710001678715,1.31879614542597,0.585964996596501,0.968886310700892,-1.41103180277475,0.304934910712939
29,"University of California, Santa Barbara",United States,56.6,64.3,68,98.8,89.8,75,22020,27.3,11%,2011,North America,52,48,34.4145937,-119.8458195,748.037,0.11,-2.59505125840312,0.354552678024686,0.2608534701957,-0.42451720425017,-1.27016739206919,-0.262979692627256
30,University of British Columbia,Canada,65.1,93.3,74.8,80.3,42.6,73.8,50152,17.6,25%,2011,North America,54,46,49.2583938,-123.2465816,695.607,0.25,-2.26342248270402,-0.869416767599133,-0.70010946662206,-1.24935114706615,0.944953241327413,-0.077232578011786
30,University of North Carolina at Chapel Hill,United States,70.9,21.5,75.1,85,50.2,73.8,26518,7.3,8%,2011,North America,58,42,35.9146715,-79.048756,748.037,0.08,-2.12744645450721,1.19949182015308,-1.01279171570486,1.41823327357553,0.408353294635015,-0.180894164525195
32,"University of California, San Diego",United States,59.8,31.6,76.3,90.8,51.8,73.2,27233,6.5,11%,2011,North America,48,52,32.8793526,-117.2311005,748.037,0.11,-2.01453691500583,0.753445695816038,-0.983515996899689,1.02435764043931,0.006263295072752,-0.617122728192794
33,University of Illinois at Urbana-Champaign,United States,68.1,55.9,80.9,72.9,-,73,42727,18.7,20%,2011,North America,47,53,40.101976,-88.2314378,748.037,0.2,-2.49283840499408,0.719868520454378,0.217368679090132,-0.01717240249637,0.548268777082528,-0.286918593963068
34,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,40.5,72.9,31592,15.5,34%,2011,Asia,49,51,1.2962018,103.7768994,746.753,0.34,-2.24983579198071,-1.24142859407159,-0.507480026688334,-1.14975511521985,1.04071423625493,0.03188485255861
35,McGill University,Canada,69,85.9,74.9,69,-,71.7,31326,13.7,23%,2011,North America,56,44,45.5069177,-73.5791163,695.607,0.23,-2.45784566867752,0.066387318130179,0.384187376121827,-1.2883620688055,0.73563283204502,0.093849716354132
36,University of Melbourne,Australia,58.7,88,69.2,83.3,47.7,71,40128,23.7,35%,2011,Oceania,55,45,-37.7972583,144.9584501,771.256,0.35,-2.05988204413138,-1.05458488149402,-0.361002971252532,-0.78411225078671,0.470440455671425,-0.1600707203155
37,Peking University,China,76.4,68.6,61.3,72.2,98.6,70.7,40148,8.3,14%,2011,Asia,,,39.9922379,116.3039382,419.868,0.14,-2.2880407543228,2.22454198547682,0.069271721016536,-2.17682701657162,-0.207138174810422,0.809937625085014
38,Washington University in St Louis,United States,58.9,56.4,63,88.6,-,69.9,12528,5.7,17%,2011,North America,,,38.6446284,-90.3137929,748.037,0.17,-1.99747411133332,0.317687226311903,-0.138145825907252,0.003647713683729,-0.489104084626695,-0.057990052794631
39,Ecole Polytechnique,France,57.9,77.9,56.1,91.4,-,69.5,2429,4.8,30%,2011,Europe,18,82,48.7143,2.2113,800.895,0.3,-2.06200412534811,-0.618348336377862,0.151670951028404,-0.471221287794088,-0.63812637663761,0.231334344460913
40,University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,42.2,69.2,25774,14.1,36%,2011,Europe,58,42,55.9450449,-3.1902313,698.496,0.36,-1.63565333601095,-0.324673744577395,-1.04060999777257,-0.333454019867486,0.300875017842108,0.028294439673347
41,Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,64.1,69,11385,23.8,36%,2011,Asia,,,22.3358031,114.265904,836.098,0.36,-1.95309292244733,-1.64008018104547,0.103490861174024,-0.922541736516084,-0.87867058343991,0.153672637018507
42,Ecole Normale Superieure de Lyon,France,66.8,44.9,48.2,95.7,30.7,68.6,2400,7.9,20%,2011,Europe,46,54,45.7297811,4.8265819,800.895,0.2,-1.43925145846285,-0.418367801710377,-1.48736768415688,1.10146619160967,0.067512472789164,0.634245331149606
43,Australian National University,Australia,51.9,93.9,62.4,81,-,67,14604,19.2,35%,2011,Oceania,52,48,-35.2812134,149.1166533,771.256,0.35,-1.92740143588106,-0.872300228342988,0.489883852242891,-1.23822240866411,-0.205882587702775,-0.134018871683569
43,Karolinska Institute,Sweden,65.8,-,72.7,62.3,73.3,67,7774,11.5,22%,2011,Europe,70,30,59.3481,18.0237,765.585,0.22,-2.1423872199875,0.352846606463812,0.811242137394384,-0.50094025691595,0.730806992575913,-0.01852525729471
43,University of Gottingen,Germany,57.3,44.5,55.9,92.5,31.7,67,25581,25.6,12%,2011,Europe,51,49,51.5285079,9.932326,723.534,0.12,-1.19800380282169,-0.087568402659684,-1.5949487515533,0.675892084230579,0.105716728891602,0.002319324129223
43,University of Wisconsin,United States,55.5,43.7,64.6,83.4,-,67,,,,2011,North America,,,43.0798281,-89.4306643,748.037,,-1.7182738800852,0.73083911948799,-0.076424156078631,0.392861197684123,-0.39199166106161,-0.298660851509003
47,Rice University,United States,57.4,31.2,50.6,99.1,29.2,66.9,6333,9,26%,2011,North America,44,56,29.7167914,-95.4047811,748.037,0.26,-1.07045759813002,0.048628845231777,-1.8693537211702,1.30105808290349,-0.213909990172882,0.113821975222425
48,Ecole Polytechnique Federale de Lausanne,Switzerland,55,100,56.1,83.8,38,66.5,9666,10.5,54%,2011,Europe,27,73,46.5191,6.5668,1296.412,0.54,-2.15045760938316,-3.85843805601431,1.27545177225287,1.3168370501531,0.415895995480061,0.173804610808145
49,"University of California, Irvine",United States,49.4,66.3,54.7,91.6,-,66,26614,16.1,16%,2011,North America,52,48,33.6431901,-117.8401649,748.037,0.16,-1.58514220107662,-0.157819622235127,-0.077929402498482,-0.363654933433392,-0.876099364985254,-0.109332944857372
49,University of Science and Technology of China,China,57.5,-,48.6,92.7,30.3,66,14290,7.9,2%,2011,Asia,,,31.839072,117.2642075,419.868,0.02,-0.840889336957736,0.323437423130224,-2.48480093208304,-1.57195290809358,0.142283011622445,0.374090580916978
51,Vanderbilt University,United States,64.9,22.1,59.5,78.1,84.2,65.9,12161,3.6,10%,2011,North America,52,48,36.1442215,-86.8027573,748.037,0.1,-1.78187243078047,1.78255029203096,0.295315523551143,1.02473451867956,-0.535570822549984,0.173822500047216
52,University of Minnesota,United States,57.6,23,69.1,76.4,-,65.6,46825,18,13%,2011,North America,52,48,44.973086,-93.2370881,748.037,0.13,-1.60298455663154,1.47638065249128,-0.063005068629594,1.07343123255769,-0.109001657698104,-0.455320253443528
53,Tufts University,United States,64.1,28.3,52.3,83.9,-,65.2,10410,10,14%,2011,North America,54,46,42.4062917,-71.1197505,748.037,0.14,-1.53482982131611,1.19993603706626,-0.243315713902191,0.97720522596387,-0.508695504396451,0.386528256006651
54,"University of California, Davis",United States,57.3,60.5,70.7,68.8,48,65,35364,13.9,13%,2011,North America,54,46,38.5224751,-121.7513927,748.037,0.13,-1.50848310313329,0.030145000527304,-0.239367541659255,-0.032092314282832,0.875321057627267,-0.375255479709939
55,Brown University,United States,59.7,60.5,57,77.7,-,64.9,8653,10.1,19%,2011,North America,,,41.8268682,-71.4012315,748.037,0.19,-1.66198342225287,0.301872871324765,0.201395865129064,-0.175707556572143,-0.15964352873267,0.207751960909628
56,University of Massachusetts,United States,61.3,22.6,72.6,67.9,53.9,64.7,56959,13,11%,2011,North America,49,51,42.36565,-71.10832,748.037,0.11,-1.44118040592644,1.33258645598431,-0.355279329839398,1.21847761804869,0.717275462292656,-0.44517857547283
57,Kyoto University,Japan,78.9,18.4,77.7,46.3,67.1,64.6,22809,5.6,7%,2011,Asia,,,35.0274996,135.7815451,891.631,0.07,-2.03403827298914,1.6045487381755,1.0121434070794,1.89077839250882,1.5756174320063,0.099932555215307
58,Tsinghua University,China,74.9,43,66.6,52.7,97.8,64.2,39763,13.7,10%,2011,Asia,32,68,40.0022904,116.3209891,419.868,0.1,-1.7682330455856,3.21790421224525,0.386470547371211,-1.39858798638328,0.472230012628367,0.474342719471687
59,Boston University,United States,53.6,38.1,51.9,91.4,29.6,64,24789,8.6,17%,2011,North America,58,42,42.3504253,-71.1005611,748.037,0.17,-0.885179891873878,-0.086869646675703,-1.56848911020376,1.00562113513881,0.031973968633123,-0.039451867361927
60,New York University,United States,62,31.8,50.7,82.9,-,63.9,42056,6.8,19%,2011,North America,55,45,40.7292532,-73.9962539,748.037,0.19,-1.42714733982163,1.07739378745156,-0.173713013087777,0.843578415834724,-0.52470101418933,0.375055201612685
61,Emory University,United States,63.4,52.3,48.4,77.8,-,63,12338,4.5,18%,2011,North America,56,44,33.7915703,-84.3183726,748.037,0.18,-1.47260223780579,0.532828263832834,0.125040082740162,0.131800678602113,-0.266232525193467,0.607618882556221
61,LMU Munich,Germany,59.1,43.1,57.5,76.4,40.4,63,35691,15.5,13%,2011,Europe,62,38,48.1517251,11.5859138,723.534,0.13,-1.07469510626284,0.347405056177876,-0.900368098236687,0.575998961304765,0.533412354029354,0.043787346179469
63,University of Notre Dame,United States,56.4,35.6,45.1,89.1,-,62.8,11829,13.8,10%,2011,North America,44,56,41.7045678,-86.2382203,748.037,0.1,-1.23785471156741,0.799831567570039,-0.276596937917794,0.717153562518898,-0.933471993602396,0.354567414838703
64,University of Pittsburgh,United States,58.5,25.2,58.3,78.3,37.9,62.7,26485,5.8,10%,2011,North America,51,49,40.444153,-79.9624399,748.037,0.1,-0.964643917016817,0.704354892471201,-1.08481452342573,1.32722300243525,0.451624053536546,-0.094958655169601
65,Case Western Reserve University,United States,67.2,56.5,53.8,66,-,62.2,9259,6.4,17%,2011,North America,48,52,41.5013869,-81.6007022,748.037,0.17,-1.54728369291148,0.621184687213648,0.45733321335355,-0.049202217222231,0.340508734562337,0.6066618214038
66,Ohio State University,United States,63.5,64,54.9,67.2,-,62.1,51462,13.4,12%,2011,North America,49,51,40.0057091,-83.0286626,748.037,0.12,-1.54198992577273,0.352379412836888,0.502535202974731,-0.320170433431047,0.274439058860265,0.456414869834626
67,University of Colorado Boulder,United States,46.4,31.7,58.1,83.4,-,61.6,29325,16.1,8%,2011,North America,45,55,40.0068781,-105.272776,748.037,0.08,-1.12844530067647,0.955054298377514,-0.110103003068355,0.758432280839876,-0.722909467241476,-0.492083005652638
68,University of Bristol,United Kingdom,49.6,67.2,53.1,80.9,36.2,61.4,17906,14,25%,2011,Europe,53,47,51.4584837,-2.6097752,698.496,0.25,-0.839373465227135,-0.525438838054178,-0.992487539907214,-0.347278825024488,0.317787368697211,-0.082752379623624
68,"University of California, Santa Cruz",United States,38.3,16.7,50.4,99.6,-,61.4,17404,22.7,1%,2011,North America,53,47,36.99745,-122.05274,748.037,0.01,-0.845099701256203,1.07591085158845,-0.62227095004654,1.30616821270657,-1.65403614195215,-0.6369913394407
68,Yeshiva University,United States,63.5,53.3,46.7,74.4,-,61.4,6753,5.5,7%,2011,North America,53,47,40.8507,-73.9295,748.037,0.07,-1.36558659206044,0.535593013296196,0.229363608577169,0.08439306248756,-0.164686420122948,0.677521598491933
71,University of Sydney,Australia,49.8,89.6,61.9,64.3,90.8,61.2,41868,20.2,28%,2011,Oceania,57,43,-33.8889069,151.1894337,771.256,0.28,-1.73373637011238,-0.158516503571214,1.57900360432659,-1.37632670041671,-0.171759195046189,-0.169217897392045
72,University of Virginia,United States,62,42.2,55.4,68.6,-,61.1,23845,10.2,12%,2011,North America,52,48,38.0410576,-78.5054996,748.037,0.12,-1.35480015122326,0.968855033048347,0.299607649087737,0.420193654150574,0.113468941032596,0.279069627176073
73,University of Adelaide,Australia,46.5,87.5,38.8,90.5,52.7,60.7,20771,30.1,26%,2011,Oceania,48,52,-34.9189226,138.6042367,771.256,0.26,-0.987089317496011,-1.32860944329332,-0.298020427168586,-0.820219397148132,-0.646427257503139,0.386779554677569
73,University of Southern California,United States,65.4,31.2,48.7,71.9,-,60.7,36534,12.9,20%,2011,North America,52,48,34.0224149,-118.2863441,748.037,0.2,-1.25252277498548,1.25187991574237,0.111165883719159,0.834254189585509,-0.09538342708271,0.586355319389965
75,William & Mary,United States,53.1,20.9,36.1,95.6,-,60.4,7867,11.8,7%,2011,North America,54,46,37.2717,-76.7134,748.037,0.07,-0.880856654659414,1.07129525074964,-0.541918177168857,1.23772153804826,-1.44030785553542,0.455124561267237
76,Trinity College Dublin,Republic of Ireland,47.7,84.2,45.3,84.4,31.6,60.3,15521,18,25%,2011,Europe,57,43,53.3438406,-6.2543801,806.245,0.25,-0.829065895090824,-1.66500895114964,-0.704044022671227,-0.372675375490636,0.200851055977054,0.172790198804645
77,Kings College London,United Kingdom,48.5,85.9,54.5,72.1,44.1,59.7,21394,11.4,37%,2011,Europe,61,39,51.4698444,-0.0892786,698.496,0.37,-0.919082956138044,-0.821285021669248,-0.350728350777278,-1.10654208334139,0.52347666507728,-0.066252411397725
78,Stony Brook University,United States,48.5,52.2,43.6,85.8,-,59.6,21908,10.9,24%,2011,North America,50,50,40.9098347,-73.1211991,748.037,0.24,-1.00050610350815,0.257346868175292,-0.006908757502863,0.09551504152026,-0.922452825380524,0.173397470633629
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,100,59.5,9027,10,9%,2011,Asia,20,80,36.3697191,127.362537,823.151,0.09,-1.85055431069542,1.83736812074541,2.02610888390864,0.606735592496146,0.504894396264568,0.420480261753282
79,University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,29.1,59.5,12001,17.4,35%,2011,Europe,54,46,50.8679437,-0.0878561,698.496,0.35,-0.46546603510751,-1.09612170278477,-1.41052728840708,-0.451038991270546,-0.188565836823289,-0.001075387651817
81,University of Queensland,Australia,51.8,74.2,53.4,69,57.1,59.1,34718,32.7,27%,2011,Oceania,53,47,-27.4974181,153.0131696,771.256,0.27,-1.08949484254593,-0.449708173258687,0.281425103694198,-0.491266923659239,0.312766271091749,0.070527236592428
81,University of York,United Kingdom,47.9,66.6,46.2,81.9,36.2,59.1,,,,2011,Europe,,,53.9454037,-1.0313888,698.496,,-0.599858578646109,-0.576803778444295,-1.00568001952613,-0.325216144366134,0.13346571452239,0.080267801872663
83,Heidelberg University,Germany,59.2,63.4,47.5,70.3,39.1,59,28881,24.5,17%,2011,Europe,55,45,49.4191,8.6702,723.534,0.17,-0.816454653135211,-0.262215193741854,-0.59749523939751,-0.121162080360445,0.707944733417495,0.484311889968277
83,University of Utah,United States,55.8,22.5,54.2,72,-,59,25674,16.9,9%,2011,North America,45,55,40.7628137,-111.8368719,748.037,0.09,-1.02023021039246,1.440525752501,0.086686158225605,1.07430058432568,-0.229803381281142,-0.018617040538833
85,Durham University,United Kingdom,39.8,65.7,44.1,91,33.9,58.9,15489,15.7,24%,2011,Europe,54,46,54.7589551,-1.5813322,698.496,0.24,-0.418599789317946,-0.801242421103369,-1.28839977252713,-0.273157328426566,-0.334853472536945,-0.185694696609424
86,London School of Economics and Political Science,United Kingdom,62.4,99.5,56.2,51.6,38.4,58.3,,,,2011,Europe,,,51.514429,-0.1165884,698.496,,-1.05010136669951,-0.935048383243079,0.068607734808471,-1.53514697030971,1.75695089120786,0.500417572718146
87,University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,39,58,34938,15.3,34%,2011,Europe,52,48,53.4739625,-2.2351187,698.496,0.34,-0.848184519284506,-0.471614239125505,-0.251486184604599,-0.843321129151342,1.26930741590989,0.166963180474147
88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9,8747,15.9,37%,2011,Europe,57,43,51.5072648,-0.1278328,698.496,0.37,-0.347442278014613,-1.76773802670692,-1.21776321987757,-1.16147176664461,-0.39008512540574,0.116037755705697
89,Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8,28251,11.5,15%,2011,Europe,,,55.7039571,13.1902011,765.585,0.15,-0.630350998565556,-0.378813572969754,-0.557297751939417,0.259964967835201,0.888090832757139,-0.511891684268118
90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7,20925,13.5,29%,2011,Europe,53,47,50.8927363,-1.3946429,698.496,0.29,-0.597244313434431,-0.470481993259511,-0.708479178817722,-0.447885960548616,0.515349069547411,0.163615364164417
90,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7,26583,6.5,19%,2011,Europe,57,43,47.4968476,8.7298177,1296.412,0.19,-1.53158420724719,-3.19403006705202,1.88701892287885,1.60537574586897,0.789235907608231,0.519728160382466
90,Wake Forest University,United States,54.6,24.4,42.9,79.2,-,57.7,7326,4.6,5%,2011,North America,51,49,36.134335,-80.2781152,748.037,0.05,-0.818820854152358,1.22016748251454,-0.076010953097553,1.04602168866512,-0.691040820851665,0.317872933085102
93,McMaster University,Canada,44.7,-,58.7,68.5,-,57.6,23823,19.3,15%,2011,North America,53,47,43.2633694,-80.2781152,695.607,0.15,-1.03925959863081,0.199328065080851,0.433763300905477,-0.865380878240415,-0.044722039056076,-0.387502662089034
94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,-,57.5,22193,24.5,23%,2011,Europe,,,53.3002031,-6.5330076,806.245,0.23,-0.960824988000832,-1.12023404402252,0.499384830108515,-0.845536316096481,-1.03377296471939,0.328289497509353
95,George Washington University,United States,60.6,39.6,43.1,70.2,-,57.3,20541,12,16%,2011,North America,56,44,38.9044038,-77.0478034,748.037,0.16,-0.965874722411832,0.941741503826559,0.259840226323179,0.519615153843053,-0.183337795246351,0.627178129269826
95,University of Arizona,United States,52.4,21.9,52.2,70.1,84.2,57.3,36429,12.7,8%,2011,North America,52,48,32.228775,-110.9768841,748.037,0.08,-0.988939921154131,1.71394114815132,0.597725901073372,0.934470116644433,-0.606528551499455,-0.063780690283665
95,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3,12551,17.3,24%,2011,Europe,54,46,47.5612651,7.5752961,1296.412,0.24,-1.36022894037532,-3.5390674101775,1.65605908296232,1.50534043980868,-0.012996554709137,0.606860062347055
98,"University of Maryland, College Park",United States,45.4,35.4,48.6,79.2,-,57.2,31331,8.4,9%,2011,North America,48,52,39.2886143,-76.6230002,748.037,0.09,-0.766426158599612,0.831474026413297,0.054980485962538,0.616566861109719,-0.730012040790165,-0.187907242714482
99,Dartmouth College,United States,44.7,31,49.2,79.7,-,57.1,6178,6.6,16%,2011,North America,47,53,43.7047927,-72.2925909,748.037,0.16,-0.734187797107949,0.952012197530013,0.009529082550658,0.764390320120466,-0.769882849877828,-0.256528527906982
100,Ecole Normale Superieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57,2218,8,14%,2011,Europe,49,51,45.7297811,4.8265819,800.895,0.14,-0.257050463725152,-0.450649041754952,-1.38696384281361,1.29044519903028,-0.128695927784251,0.450053716975966
101,Technical University of Munich,Germany,50.4,85.3,43.2,71.2,-,56.9,35565,31.5,20%,2011,Europe,33,67,48.1497,11.5679,723.534,0.2,-0.998197525699191,-0.430030649700474,0.565211254442431,-1.2006352111446,-0.225354098421142,0.429552807069
102,University of Helsinki,Finland,49,24.2,51.4,75.4,30.2,56.6,23505,15.1,6%,2011,Europe,66,34,60.1710377,24.9491506,779.174,0.06,-0.31777553783277,0.352947668253843,-1.07950319199408,1.52010704999155,0.441699624325149,-0.249122553728615
103,University of St Andrews,United Kingdom,44.8,85.7,47.7,72.9,32.6,56.5,8338,12.7,47%,2011,Europe,56,44,56.3411984,-2.7930938,698.496,0.47,-0.466143838830702,-1.12844457666484,-0.700910588995475,-1.00045127966326,0.59049137481386,-0.001087588193998
104,Rensselaer Polytechnic Institute,United States,50.5,48,54.6,64.9,-,56.4,6671,15,16%,2011,North America,30,70,42.7298459,-73.6795022,748.037,0.16,-0.91989748177769,0.717991691895963,0.514808111503691,0.144565592271273,0.03673764773185,-0.116760099979436
105,"Rutgers, the State University of New Jersey",United States,53.4,26.8,64.7,55.7,-,56.3,37032,17.3,8%,2011,North America,51,49,40.16706,-74.49987,748.037,0.08,-0.942997515251662,1.54524382040653,0.573092703086852,0.831422598588818,0.504454255409696,-0.431569578917159
106,Purdue University,United States,57,62.6,67.8,43.9,-,56.2,39256,18.1,22%,2011,North America,42,58,40.4319722,-86.9238937,748.037,0.22,-1.2061126553278,0.681871345450182,1.15877677254005,-0.424935522674577,1.19940791033661,-0.217939238195725
107,National Tsing Hua University,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1,10221,13.5,5%,2011,Asia,33,67,24.7925484,120.9951183,640.288,0.05,-0.464768605711662,1.16115053694379,-0.64469566744015,0.329319963513418,0.395532250089948,-0.077277335614513
